0.370296,-3.460309
0.370283,-3.461902
0.370245,-3.463495
0.367966,-3.481855
0.367610,-3.483437
0.361663,-3.501567
0.360991,-3.503120
0.351409,-3.520815
0.350424,-3.522322
0.337260,-3.539382
0.335967,-3.540825
0.319291,-3.557053
0.317699,-3.558416
0.297602,-3.573622
0.295718,-3.574888
0.272308,-3.588888
0.270143,-3.590042
0.243548,-3.602662
0.241113,-3.603689
0.211476,-3.614763
0.208785,-3.615650
0.176265,-3.625024
0.173332,-3.625758
0.138105,-3.633291
0.134946,-3.633859
0.097201,-3.639423
0.093832,-3.639815
0.053770,-3.643294
0.050210,-3.643502
0.008045,-3.644797
0.004313,-3.644812
-0.039731,-3.643840
-0.043616,-3.643655
-0.089306,-3.640347
-0.093323,-3.639958
-0.140419,-3.634265
-0.144547,-3.633668
-0.192801,-3.625556
-0.197018,-3.624749
-0.246179,-3.614203
-0.250465,-3.613185
-0.300278,-3.600207
-0.304609,-3.598980
-0.354819,-3.583591
-0.359173,-3.582156
-0.409522,-3.564395
-0.413877,-3.562758
-0.464112,-3.542680
-0.468446,-3.540845
-0.518314,-3.518526
-0.522606,-3.516500
-0.571860,-3.492030
-0.576088,-3.489822
-0.630054,-3.492691
-0.630164,-3.497465
-0.624486,-3.463308
-0.628629,-3.460929
-0.620335,-3.454945
-0.616176,-3.452593
-0.629878,-3.437479
-0.629958,-3.432703
-0.675938,-3.432495
-0.679977,-3.429956
-0.667832,-3.483082
-0.671889,-3.485597
-0.718106,-3.515538
-0.722043,-3.518202
-0.766764,-3.549795
-0.770562,-3.552595
-0.813579,-3.585676
-0.817222,-3.588597
-0.858343,-3.622988
-0.861813,-3.626014
-0.900857,-3.661525
-0.904141,-3.664640
-0.940942,-3.701070
-0.944025,-3.704256
-0.978434,-3.741397
-0.981304,-3.744635
-1.013186,-3.782269
-1.015832,-3.785540
-1.045069,-3.823444
-1.047482,-3.826729
-1.073976,-3.864674
-1.076147,-3.867952
-1.099815,-3.905704
-1.101739,-3.908956
-1.122518,-3.946281
-1.124189,-3.949485
-1.142035,-3.986147
-1.143451,-3.989283
-1.158337,-4.025047
-1.159497,-4.028096
-1.171416,-4.062728
-1.172319,-4.065669
-1.181284,-4.098940
-1.181932,-4.101754
-1.187972,-4.133440
-1.188369,-4.136107
-1.191533,-4.165992
-1.191684,-4.168494
-1.192038,-4.196367
-1.191949,-4.198686
-1.189576,-4.224348
-1.189255,-4.226467
-1.184255,-4.249728
-1.183712,-4.251632
-1.176201,-4.272315
-1.175446,-4.273988
-1.165554,-4.291930
-1.164599,-4.293359
-1.152470,-4.308410
-1.151329,-4.309583
-1.137121,-4.321607
-1.135806,-4.322513
-1.119688,-4.331392
-1.118215,-4.332022
-1.100366,-4.337656
-1.098752,-4.338000
-1.079360,-4.340305
